po_id,supplier_id,supplier_name,supplier_country,material_category,material_criticality,order_date,promised_delivery_date,quantity_ordered,unit_price_usd,order_value_usd,payment_terms,shipping_method,distance_km,supplier_lead_time_avg_days,supplier_otd_rate_historical_pct,supplier_active_pos_count,is_peak_season,actual_delivery_date,delay_days,goods_receipt_status,is_late
PO-2024-000805,SUP-044,Supplier Generic 44,China,MRO,Medium,2024-09-27,2024-10-13,313,29.52,9239.76,COD,Air,3113.1,18.9,76.0,3,0,2024-10-11,-2,Complete,0
PO-2024-000108,SUP-033,Supplier Generic 33,China,Component,Medium,2024-01-09,2024-01-27,1065,4.18,4451.7,Net 30,Sea,3500.0,13.3,81.7,8,0,2024-01-27,0,Complete,0
PO-2024-000821,SUP-008,Shenzhen Precision Metals,South Korea,Raw Material,Medium,2024-01-08,2024-01-17,1686,6.55,11043.3,Net 90,Air,4913.9,14.4,61.0,7,0,2024-01-15,-2,Complete,0
PO-2024-002316,SUP-014,Chennai Steel Works,South Korea,Component,Low,2024-12-21,2025-01-08,2656,45.38,120529.28,Net 30,Air,5537.4,22.9,73.9,5,1,2025-01-08,0,Complete,0
PO-2024-002008,SUP-019,PT Teknindo Sukses Mandiri, South Korea ,Raw Material,Low,2024-02-16,2024-03-17,296,74.94,22182.24,Net 60,Sea,5154.9,24.2,59.8,1,0,2024-03-15,-2,Complete,0
PO-2024-001910,SUP-029,Supplier Generic 29,Indonesia,Packaging,Medium,2024-04-09,2024-04-16,234,10.23,2393.82,Net 30,Land,303.0,8.5,40.0,7,1,2024-04-28,12,Complete,1
PO-2024-000433,SUP-035,Supplier Generic 35,China,Raw Material,Medium,2024-02-17,2024-03-11,88,6.66,586.08,COD,Sea,2809.2,14.5,80.7,6,0,2024-03-10,-1,Complete,0
PO-2024-001349,SUP-030,Supplier Generic 30,Japan,Component,Medium,2024-12-03,2024-12-29,994,21.02,20893.88,Net 60,Sea,5802.0,22.3,78.3,10,1,2025-01-12,14,Complete,1
PO-2024-000859,SUP-008,Shenzhen Precision Metals,South Korea,Packaging,Medium,2024-10-08,2024-10-26,134,6.43,861.62,Net 30,Sea,5213.8,14.4,61.0,5,0,2024-10-26,0,Complete,0
PO-2024-001376,SUP-017,PT Prima Rekayasa Komponen,Vietnam,Raw Material,High,2024-01-13,2024-02-12,558,8.5,4743.0,Net 60,sea,2389.7,19.5,65.3,7,0,2024-02-21,9,Complete,1
PO-2024-000305,SUP-003,PT Baja Presisi Indonesia,Thailand,MRO,Medium,2024-10-20,2024-11-01,785,3.27,2566.95,Net 30,Air,2277.3,14.9,78.5,5,0,2024-10-31,-1,Complete,0
PO-2024-002107,SUP-007,Global Parts Co.,USA,Component,Low,2024-10-22,2024-11-27,826,9.93,8202.18,Net 90,Sea,14027.6,30.2,59.5,5,0,2024-12-07,10,Complete,1
PO-2024-001570,SUP-042,Supplier Generic 42,South Korea,Component,Medium,2024-01-30,2024-02-20,786,6.21,4881.06,Net 30,Sea,4763.9,15.4,64.2,6,0,2024-03-04,13,Complete,1
PO-2024-002006,SUP-034,Supplier Generic 34,China,Component,High,2024-01-26,2024-02-08,514,14.78,7596.92,Net 60,Air,3228.8,17.8,81.6,4,0,2024-02-06,-2,Complete,0
PO-2024-000433,SUP-035,Supplier Generic 35,China,Raw Material,Medium,2024-02-17,2024-03-11,88,6.66,586.08,COD,Sea,2809.2,14.5,80.7,6,0,2024-03-10,-1,Complete,0
PO-2024-001790,SUP-006,PT Sumber Teknik Mandiri,India,Component,Low,2024-08-28,2024-09-18,185,3.95,730.75,Net 30,Sea,4755.7,18.0,,4,0,2024-09-18,0,Complete,0
PO-2024-000701,SUP-032,Supplier Generic 32,India,Raw Material,High,2024-12-20,2025-01-17,1096,6.7,7343.2,Net 60,Sea,4584.0,19.2,90.1,2,1,2025-01-29,12,Complete,1
PO-2024-000608,SUP-045,Supplier Generic 45,South Korea,Component,Low,2024-09-15,2024-10-11,600,5.46,3276.0,Net 90,Sea,4534.2,22.5,72.4,9,0,2024-10-11,0,Complete,0
PO-2024-001164,SUP-006,PT Sumber Teknik Mandiri,India,Raw Material,Low,2024-10-11,2024-11-04,735,8.53,6269.55,COD,Sea ,5199.9,18.0,87.2,4,0,2024-11-01,-3,Complete,0
PO-2024-001038,SUP-020,PT Wijaya Sparepart Utama,Germany,Component,Low,2024-04-15,2024-05-04,574,10.21,5860.54,Net 30,Air,11169.8,23.3,57.9,8,1,2024-05-01,-3,Complete,0
PO-2024-000005,SUP-007,Global Parts Co.,USA,Component,Medium,2024-06-17,2024-07-13,400,33.73,13492.0,Net 30,Air,16858.1,30.2,59.5,11,0,2024-07-12,-1,Complete,0
PO-2024-001996,SUP-002,PT Mitra Komponen Nusantara,China,Component,High,2024-12-20,2025-01-08,105,28.78,3021.9,COD,Air,2896.0,18.5,59.4,8,1,2025-01-06,-2,Complete,0
PO-2024-000322,SUP-001,PT Sinar Logam Jaya,South Korea,Packaging,Medium,2024-02-02,2024-02-19,323,35.91,11598.93,Net 30,Air ,5951.1,18.3,85.9,3,0,2024-02-18,-1,Complete,0
PO-2024-001481,SUP-015,KL Electronic Parts,China,Raw Material,Low,2024-10-28,2024-11-20,1131,10.8,12214.8,Net 30,Sea,3563.4,19.7,79.7,5,0,2024-11-17,-3,Complete,0
PO-2024-000860,SUP-016,PT Cahaya Logistik Industri,Indonesia,Raw Material,Low,2024-11-16,2024-11-25,1327,16.83,22333.41,Net 60,Land,378.8,10.2,67.7,5,1,2024-11-27,2,Complete,1
PO-2024-000445,SUP-030,Supplier Generic 30,Japan,Raw Material,High,2024-04-19,2024-05-16,1495,7.93,11855.35,Net 90,Sea,4780.0,22.3,78.3,4,1,2024-05-24,8,Partial,1
PO-2024-000996,SUP-024,Supplier Generic 24,Thailand,Component,Low,2024-02-29,2024-03-21,603,5.83,3515.49,Net 60,Sea,2149.6,11.9,99.0,5,0,2024-03-19,-2,Complete,0
PO-2024-001403,SUP-028,Supplier Generic 28,indonesia,Raw Material,Low,2024-12-14,2024-12-20,658,18.99,12495.42,Net 30,Courier,356.0,4.4,83.4,6,1,2024-12-18,-2,Complete,0
PO-2024-002304,SUP-038,Supplier Generic 38,China,Packaging,Low,2024-12-16,2025-01-08,177,9.71,1718.67,Net 90,Sea,3369.0,19.9,70.2,9,1,2025-01-08,0,Complete,0
PO-2024-002441,SUP-039,Supplier Generic 39,Indonesia,Component,Medium,2024-10-15,2024-10-17,2347,14.6,34266.2,COD,Land,344.8,2.9,79.9,5,0,2024-10-16,-1,Complete,0
PO-2024-002096,SUP-015,KL Electronic Parts,China,Raw Material,Low,2024-07-09,2024-08-03,551,5.89,3245.39,COD,Sea,3262.8,19.7,79.7,7,0,2024-07-31,-3,Complete,0
PO-2024-001035,SUP-047,Supplier Generic 47,China,Raw Material,High,2024-10-13,2024-10-29,190,3.56,676.4,Net 30,Sea,3376.6,11.1,49.4,6,0,2024-11-09,11,Complete,1
PO-2024-000103,SUP-034,Supplier Generic 34,China,MRO,Low,2024-10-15,2024-11-06,457,29.51,13486.07,Net 30,Sea,3094.7,17.8,81.6,2,0,2024-11-05,-1,Complete,0
PO-2024-000536,SUP-021,Supplier Generic 21,USA,Component,Low,2024-11-18,2024-12-11,1875,17.46,32737.5,Net 30,Air,13800.8,27.5,76.2,4,1,2024-12-08,-3,Complete,0
PO-2024-002267,SUP-041,Supplier Generic 41,China,MRO,Medium,2024-06-18,2024-07-13,609,,,COD,Sea,3400.4,18.1,43.3,6,0,2024-07-15,2,Complete,1
PO-2024-000995,SUP-018,PT Bumi Kemasan Lestari,INDONESIA,Component,High,2024-07-27,2024-08-02,1022,10.27,10495.94,Net 60,Land,293.2,6.3,51.1,8,0,2024-08-07,5,Complete,1
PO-2024-002114,SUP-007,Global Parts Co.,USA,MRO,Medium,2024-05-18,2024-06-23,216,8.11,1751.76,Net 90,Sea,14435.3,30.2,59.5,10,0,2024-06-29,6,Complete,1
PO-2024-000665,SUP-050,Supplier Generic 50,Indonesia,Component,High,2024-04-12,2024-04-20,642,19.84,12737.28,Net 60,Land,359.1,6.2,78.9,6,1,2024-04-17,-3,Complete,0
PO-2024-001554,SUP-049,Supplier Generic 49,Japan,Component,Low,2024-05-07,2024-06-05,1041,4.35,4528.35,Net 60,Sea,5787.1,20.2,40.0,8,0,2024-06-05,0,Pending,0
PO-2024-002025,SUP-010,Deutsche Praezisionsteile GmbH,China,MRO,Low,2024-11-11,2024-11-27,996,12.61,12559.56,Net 60,Air,3169.8,17.0,64.2,6,1,2024-11-27,0,Complete,0
PO-2024-000307,SUP-044,Supplier Generic 44,China,Component,Medium,2024-02-14,2024-03-01,762,4.48,3413.76,Net 30,Air,3171.2,18.9,76.0,4,0,2024-03-01,0,Complete,0
PO-2024-000858,SUP-041,Supplier Generic 41,China,Raw Material,High,2024-10-26,2024-11-19,511,5.66,2892.26,COD,Sea,3289.0,18.1,43.3,8,0,2024-11-18,-1,Complete,0
PO-2024-001261,SUP-047,Supplier Generic 47,China,Packaging,Low,2024-11-13,2024-11-29,390,17.93,6992.7,Net 90,Sea,2719.7,11.1,49.4,3,1,2024-11-27,-2,Complete,0
PO-2024-001862,SUP-023,Supplier Generic 23,India,Component,High,2024-10-30,2024-11-11,1319,6.36,8388.84,COD,Air,4947.9,17.2,48.9,10,0,2024-11-13,2,Complete,1
PO-2024-001462,SUP-025,Supplier Generic 25,South Korea,Component,Low,2024-09-02,2024-09-19,175,26.03,4555.25,Net 30,Air,5757.0,22.0,76.1,5,0,2024-09-19,0,Complete,0
PO-2024-000398,SUP-015,KL Electronic Parts,China,Raw Material,Low,2024-01-09,2024-01-25,1125,,,Net 30,Air,2868.4,19.7,79.7,9,0,2024-01-23,-2,Complete,0
PO-2024-002389,SUP-036,Supplier Generic 36,Indonesia,Raw Material,Low,2024-10-09,2024-10-11,4781,5.75,27490.75,Net 90,Courier,334.3,3.4,40.0,5,0,2024-10-09,-2,Complete,0
PO-2024-000397,SUP-010,Deutsche Praezisionsteile GmbH, China ,Raw Material,High,2024-12-10,2024-12-25,1424,4.91,6991.84,Net 30,Air,3265.3,17.0,64.2,2,1,2024-12-22,-3,Complete,0
PO-2024-001168,SUP-043,Supplier Generic 43,Japan,Component,Medium,2024-04-29,2024-05-19,509,21.75,11070.75,Net 60,Sea,5554.3,18.0,63.2,8,1,2024-05-17,-2,Complete,0
PO-2024-001916,SUP-035,Supplier Generic 35,China,Component,Low,2024-01-21,2024-02-07,669,8.82,5900.58,Net 30,Sea,3035.9,14.5,80.7,7,0,2024-02-06,-1,Complete,0
PO-2024-002429,SUP-039,Supplier Generic 39,Indonesia,Component,Medium,2024-03-30,2024-04-02,320,48.56,15539.2,Net 30,Land,329.9,2.9,,5,1,2024-03-31,-2,Complete,0
PO-2024-000196,SUP-010,Deutsche Praezisionsteile GmbH,China,MRO,High,2024-01-28,2024-02-11,666,4.29,2857.14,Net 60,Air,3720.7,17.0,64.2,9,0,2024-02-10,-1,Complete,0
PO-2024-000007,SUP-043,Supplier Generic 43,Japan,MRO,Low,2024-08-04,2024-08-28,167,7.96,1329.32,Net 60,Sea,5075.5,18.0,63.2,3,0,2024-08-25,-3,Complete,0
PO-2024-001329,SUP-014,Chennai Steel Works,South Korea,Component,Low,2024-03-07,2024-04-01,2960,6.35,18796.0,Net 30,Sea,5470.8,22.9,73.9,5,1,2024-03-29,-3,Complete,0
PO-2024-001433,SUP-043,Supplier Generic 43,Japan,Component,Medium,2024-07-14,2024-08-06,477,7.67,3658.59,Net 60,Sea,6750.2,18.0,63.2,10,0,2024-08-06,0,Complete,0
PO-2024-001061,SUP-017,PT Prima Rekayasa Komponen,Vietnam,Packaging,Low,2024-10-23,2024-11-08,339,3.41,1155.99,Net 30,Air,2563.5,19.5,65.3,9,0,2024-11-05,-3,Complete,0
PO-2024-000478,SUP-036,Supplier Generic 36,Indonesia,Component,Low,2024-05-12,2024-05-16,392,8.64,3386.88,Net 60,Land,300.6,3.4,40.0,9,0,2024-05-16,0,Complete,0
PO-2024-002031,SUP-012,Seoul Alloy Industries,Malaysia,MRO,Low,2024-01-01,2024-01-04,166,5.06,839.96,COD,Air,2074.2,6.8,96.6,5,0,2024-01-03,-1,Complete,0
PO-2024-002062,SUP-046,Supplier Generic 46,South Korea,Raw Material,Medium,2024-02-04,2024-03-03,1912,4.22,8068.64,Net 60,Sea,4537.2,20.8,93.5,6,0,2024-03-02,-1,Complete,0
PO-2024-001407,SUP-030,Supplier Generic 30,Japan,Component,High,2024-06-25,2024-07-22,248,13.02,3228.96,COD,Sea,5624.6,22.3,78.3,6,0,2024-07-20,-2,Complete,0
PO-2024-002222,SUP-037,Supplier Generic 37,Indonesia,Raw Material,High,2024-08-29,2024-09-07,804,35.17,28276.68,Net 60,Land,371.4,9.5,88.9,4,0,2024-09-06,-1,Complete,0
PO-2024-002089,SUP-009,Hanoi Component Supply,Indonesia,Packaging,Medium,2024-03-19,2024-03-26,2814,14.06,39564.84,Net 90,Land,348.3,7.6,90.8,5,1,2024-03-23,-3,Complete,0
PO-2024-000562,SUP-039,Supplier Generic 39,Indonesia,Component,Medium,2024-04-20,2024-04-22,747,13.42,10024.74,Net 90,Courier,357.2,2.9,79.9,2,1,2024-04-22,0,Complete,0
PO-2024-000675,SUP-016,PT Cahaya Logistik Industri,indonesia,Packaging,Medium,2024-09-03,2024-09-11,1443,4.86,7012.98,Net 60,Land,310.6,10.2,67.7,8,0,2024-09-11,0,Complete,0
PO-2024-001160,SUP-007,Global Parts Co.,USA,Component,High,2024-02-02,2024-03-07,153,9.25,1415.25,Net 30,Sea,17142.9,30.2,59.5,2,0,2024-03-06,-1,Complete,0
PO-2024-000109,SUP-032,Supplier Generic 32,India,Raw Material,High,2024-09-14,2024-10-01,516,10.29,5309.64,Net 30,Air,5204.9,19.2,90.1,1,0,2024-09-30,-1,Complete,0
PO-2024-001165,SUP-020,PT Wijaya Sparepart Utama,Germany,Packaging,Low,2024-06-21,2024-07-19,1775,17.77,31541.75,COD,Sea,9833.8,23.3,57.9,9,0,2024-07-21,2,Complete,1
PO-2024-001985,SUP-045,Supplier Generic 45,South Korea,Packaging,Low,2024-04-09,2024-05-07,2615,7.75,20266.25,Net 60,Sea,5454.6,22.5,72.4,2,1,2024-05-04,-3,Complete,0
PO-2024-001779,SUP-021,Supplier Generic 21,USA,Raw Material,Medium,2024-05-15,2024-06-21,592,51.33,30387.36,Net 90,Sea,17033.9,27.5,76.2,8,0,2024-06-18,-3,Complete,0
PO-2024-001234,SUP-017,PT Prima Rekayasa Komponen,Vietnam,Component,Low,2024-11-29,2024-12-24,43,13.04,560.72,Net 60,Sea,2870.6,19.5,65.3,10,1,2024-12-29,5,Complete,1
PO-2024-001393,SUP-015,KL Electronic Parts,China,Raw Material,Low,2024-10-22,2024-11-17,639,4.26,2722.14,Net 60,Sea,3248.6,19.7,79.7,5,0,2024-11-14,-3,Complete,0
PO-2024-000817,SUP-047,Supplier Generic 47,China,Packaging,Low,2024-03-31,2024-04-11,255,13.29,3388.95,COD,Sea,4122.7,11.1,49.4,4,1,2024-04-09,-2,Complete,0
PO-2024-002252,SUP-012,Seoul Alloy Industries,Malaysia,Raw Material,Medium,2024-12-25,2025-01-07,921,7.27,6695.67,Net 30,Sea,1826.4,6.8,96.6,3,1,2025-01-05,-2,Complete,0
PO-2024-001375,SUP-045,Supplier Generic 45,South Korea,Raw Material,Medium,2024-10-04,2024-11-01,1559,73.13,114009.67,Net 60,Sea,5072.7,22.5,72.4,4,0,2024-11-01,0,Complete,0
PO-2024-000985,SUP-014,Chennai Steel Works,South Korea,Raw Material,Low,2024-05-19,2024-06-16,5094,10.36,52773.84,Net 30,Sea,5148.4,22.9,73.9,5,0,2024-06-13,-3,Complete,0
PO-2024-000676,SUP-027,Supplier Generic 27,China,Raw Material,High,2024-12-24,2025-01-20,1486,18.34,27253.24,Net 60,Sea,3784.2,20.3,50.7,8,1,2025-01-20,0,Complete,0
PO-2024-002257,SUP-030,Supplier Generic 30,Japan,Component,Medium,2024-12-29,2025-01-16,643,24.43,15708.49,Net 30,Air,5857.3,22.3,78.3,4,1,2025-01-16,0,Complete,0
PO-2024-000526,SUP-039,Supplier Generic 39,Indonesia,Component,Medium,2024-09-26,2024-09-28,2001,8.64,17288.64,Net 30,Courier,314.6,2.9,79.9,3,0,2024-10-04,6,Complete,1
PO-2024-000281,SUP-027,Supplier Generic 27,China,MRO,Medium,2024-12-03,2024-12-29,594,5.88,3492.72,Net 30,Sea,3144.9,20.3,50.7,7,1,2024-12-29,0,Complete,0
PO-2024-000172,SUP-010,Deutsche Praezisionsteile GmbH,China,Component,Medium,2024-09-30,2024-10-20,1182,17.08,20188.56,Net 30,Sea,3088.5,17.0,64.2,9,0,2024-11-01,12,Complete,1
PO-2024-000694,SUP-015,KL Electronic Parts,China,MRO,Low,2024-02-14,2024-03-09,539,4.49,2420.11,Net 30,Sea,3311.9,19.7,79.7,2,0,2024-03-10,1,Complete,1
PO-2024-002454,SUP-031,Supplier Generic 31,USA,MRO,Medium,2024-03-21,2024-04-24,6083,21.28,129446.24,COD,Sea,13273.9,30.5,89.8,4,1,2024-05-01,7,Complete,1
PO-2024-000416,SUP-034,Supplier Generic 34,China,Component,Medium,2024-09-25,2024-10-12,7028,14.69,103241.32,Net 90,Air,3180.2,17.8,81.6,10,0,2024-10-10,-2,Complete,0
PO-2024-001385,SUP-046,Supplier Generic 46,South Korea,Raw Material,High,2024-12-29,2025-01-27,1373,9.8,13455.4,Net 30,Sea,4838.2,20.8,93.5,5,1,2025-01-26,-1,Complete,0
PO-2024-001468,SUP-033,Supplier Generic 33,China,Packaging,Low,2024-01-06,2024-01-22,732,6.84,5006.88,Net 90,Sea,3408.4,13.3,81.7,5,0,2024-01-20,-2,Complete,0
PO-2024-001805,SUP-023,Supplier Generic 23,India,Component,Medium,2024-12-04,2024-12-22,526,9.31,4897.06,Net 90,air,6363.9,17.2,48.9,11,1,2025-01-05,14,Complete,1
PO-2024-002129,SUP-023,Supplier Generic 23,India,Raw Material,Medium,2024-09-30,2024-10-18,703,11.43,8035.29,Net 60,Air,5550.7,17.2,48.9,10,0,2024-10-18,0,Complete,0
PO-2024-000368,SUP-028,Supplier Generic 28,Indonesia,Component,High,2024-10-21,2024-10-25,795,19.79,15733.05,Net 60,Land,319.4,4.4,83.4,2,0,2024-10-25,0,Complete,0
PO-2024-001246,SUP-050,Supplier Generic 50,Indonesia,MRO,High,2024-03-28,2024-04-01,1134,11.95,13551.3,Net 90,Land,333.3,6.2,78.9,5,1,2024-03-30,-2,Complete,0
PO-2024-001771,SUP-013,Bangkok Packaging Solutions,Germany,Raw Material,Medium,2024-05-04,2024-06-01,475,25.51,12117.25,Net 30,Sea,12462.2,21.0,53.4,7,0,2024-06-01,0,Partial,0
PO-2024-001224,SUP-011,Tokyo Machining Corp,China,Raw Material,Medium,2024-08-07,2024-08-31,566,19.24,10889.84,Net 60,Sea ,3220.3,17.8,67.1,3,0,2024-08-30,-1,Complete,0
PO-2024-000978,SUP-020,PT Wijaya Sparepart Utama,Germany,Component,Medium,2024-05-02,2024-05-27,4563,27.23,124250.49,Net 60,Air,11047.1,23.3,57.9,5,0,2024-05-25,-2,Complete,0
PO-2024-000440,SUP-030,Supplier Generic 30,Japan,Raw Material,Low,2024-07-31,2024-08-29,804,31.88,25631.52,Net 60,Sea,6884.6,22.3,78.3,5,0,2024-09-12,14,Partial,1
PO-2024-000293,SUP-037,Supplier Generic 37,Indonesia,Packaging,High,2024-03-09,2024-03-15,606,6.17,3739.02,Net 30,Courier,353.2,9.5,88.9,5,1,2024-03-15,0,Complete,0
PO-2024-000746,SUP-016,PT Cahaya Logistik Industri,Indonesia,Packaging,High,2024-11-29,2024-12-09,839,10.0,8390.0,Net 30,Land,371.8,10.2,67.7,6,1,2024-12-07,-2,Complete,0
PO-2024-000590,SUP-034,Supplier Generic 34,China,Packaging,Low,2024-04-20,2024-05-11,1169,4.35,5085.15,Net 60,Sea,3099.0,17.8,81.6,5,1,2024-05-13,2,Complete,1
PO-2024-000041,SUP-037,Supplier Generic 37,Indonesia,Component,Medium,2024-09-13,2024-09-23,2418,15.02,36318.36,Net 60,Land,378.9,9.5,88.9,6,0,2024-09-22,-1,Complete,0
PO-2024-000276,SUP-028,Supplier Generic 28,Indonesia,Component,Low,2024-06-30,2024-07-02,114,3.38,385.32,Net 30,Land,367.1,4.4,83.4,2,0,2024-06-30,-2,Complete,0
PO-2024-002009,SUP-040,Supplier Generic 40,Japan,Raw Material,Low,2024-04-02,2024-04-25,2980,6.57,19578.6,Net 30,Air,6024.9,17.0,67.4,4,1,2024-04-24,-1,Complete,0
PO-2024-001798,SUP-038,Supplier Generic 38,China,MRO,Medium,2024-06-08,2024-07-02,463,28.14,13028.82,Net 30,Sea,3350.5,19.9,70.2,5,0,2024-07-02,0,Complete,0
PO-2024-000737,SUP-003,PT Baja Presisi Indonesia, Thailand ,Raw Material,Medium,2024-08-12,2024-08-24,767,40.64,31170.88,Net 60,Air,2253.5,14.9,78.5,7,0,2024-09-06,13,Complete,1
PO-2024-001115,SUP-018,PT Bumi Kemasan Lestari,Indonesia,Packaging,Medium,2024-10-12,2024-10-21,2380,7.91,18825.8,Net 30,Land,373.4,6.3,51.1,7,0,2024-10-19,-2,Complete,0
PO-2024-000509,SUP-021,Supplier Generic 21,USA,Packaging,Low,2024-05-06,2024-06-07,671,29.23,19613.33,Net 30,Sea,15042.9,27.5,76.2,5,0,2024-06-04,-3,Complete,0
PO-2024-000465,SUP-031,Supplier Generic 31,USA,Component,High,2024-09-23,2024-10-20,985,13.57,13366.45,Net 60,Air,13517.5,30.5,89.8,5,0,2024-10-18,-2,Complete,0
PO-2024-002421,SUP-030,Supplier Generic 30,Japan,Raw Material,Medium,2024-08-13,2024-09-05,1230,8.22,10110.6,Net 30,Sea,6278.4,22.3,78.3,5,0,2024-09-03,-2,Complete,0
PO-2024-000057,SUP-001,PT Sinar Logam Jaya,South Korea,Raw Material,High,2024-10-20,2024-11-12,2162,5.94,12842.28,Net 30,Sea,4683.7,18.3,85.9,4,0,2024-11-09,-3,Complete,0
PO-2024-000750,SUP-006,PT Sumber Teknik Mandiri,India,MRO,Low,2024-06-13,2024-07-07,506,13.55,6856.3,Net 30,Sea,4966.0,18.0,87.2,2,0,2024-07-07,0,Complete,0
PO-2024-001904,SUP-048,Supplier Generic 48,Indonesia,Component,High,2024-11-05,2024-11-12,200,26.09,5218.0,Net 30,Land,315.6,5.9,96.4,4,1,2024-11-10,-2,Complete,0
PO-2024-001832,SUP-030,Supplier Generic 30,Japan,MRO,Medium,2024-08-19,2024-09-16,154,7.97,1227.38,Net 30,Sea,6693.8,22.3,78.3,8,0,2024-09-16,0,Complete,0
PO-2024-000853,SUP-046,Supplier Generic 46,South Korea,Packaging,Medium,2024-02-23,2024-03-10,413,8.79,3630.27,Net 90,Air,4891.5,20.8,93.5,7,0,2024-03-10,0,Complete,0
PO-2024-001755,SUP-045,Supplier Generic 45,South Korea,Raw Material,Low,2024-10-10,2024-11-06,294,18.19,5347.86,COD,Sea,5216.2,22.5,72.4,7,0,2024-11-06,0,Complete,0
PO-2024-000580,SUP-026,Supplier Generic 26,Indonesia,Component,Low,2024-02-20,2024-02-24,863,7.88,6800.44,Net 30,Courier,307.4,2.0,83.4,4,0,2024-02-24,0,Complete,0
PO-2024-001714,SUP-014,Chennai Steel Works,South Korea,Raw Material,Low,2024-06-07,2024-07-08,3086,7.75,23916.5,Net 60,Sea,5006.7,22.9,73.9,4,0,2024-07-06,-2,Complete,0
PO-2024-001280,SUP-001,PT Sinar Logam Jaya,South Korea,Component,Medium,2024-03-12,2024-04-05,694,14.09,9778.46,Net 60,Sea,5136.4,18.3,85.9,4,1,2024-04-03,-2,Complete,0
PO-2024-002171,SUP-047,Supplier Generic 47,China,Component,Low,2024-10-29,2024-11-13,1160,6.22,7215.2,Net 90,Sea,3857.3,11.1,49.4,11,0,2024-11-13,0,Complete,0
PO-2024-001929,SUP-023,Supplier Generic 23,India,MRO,Medium,2024-06-22,2024-07-14,1348,10.57,14248.36,COD,Sea,4281.4,17.2,48.9,5,0,2024-07-11,-3,Complete,0
PO-2024-000051,SUP-031,Supplier Generic 31,USA,Raw Material,Medium,2024-03-19,2024-04-22,2637,12.16,32065.92,Net 60,Sea,17304.5,30.5,89.8,6,1,2024-04-28,6,Complete,1
PO-2024-001614,SUP-008,Shenzhen Precision Metals,South Korea,Packaging,Medium,2024-11-04,2024-11-26,313,102.43,32060.59,Net 60,Sea,5027.8,14.4,61.0,7,1,2024-11-28,2,Complete,1
PO-2024-001379,SUP-009,Hanoi Component Supply,Indonesia,Raw Material,High,2024-12-03,2024-12-11,275,6.19,1702.25,Net 30,Land,349.2,7.6,90.8,4,1,2024-12-11,0,Complete,0
PO-2024-002430,SUP-028,Supplier Generic 28,Indonesia,Component,Low,2024-12-12,2024-12-15,637,3.61,2299.57,Net 90,Land,342.9,4.4,83.4,3,1,2024-12-27,12,Complete,1
PO-2024-002341,SUP-041,Supplier Generic 41,China,Raw Material,Low,2024-11-19,2024-12-13,404,7.95,3211.8,Net 90,Sea,3180.3,18.1,43.3,6,1,2024-12-17,4,Complete,1
